"AR","MA","GARCH","ARCH","AIC","BIC","LB_Resid","LB_Resid2","LB_Promedio"
4,3,2,1,-5.41546238777794,-5.28374768860982,0.809021129379991,0.808508431156094,0.808764780268043
2,0,1,1,-5.36975988428731,-5.30390253470325,0.765137994941651,0.851469010035183,0.808303502488417
2,0,1,2,-5.3640780644142,-5.28724448989946,0.765138527525939,0.851466613122754,0.808302570324347
3,0,1,0,1.34819506022418,1.41405240980824,0.615895267100774,0.999999988347224,0.807947627723999
4,0,1,1,-5.36621740157978,-5.27840760213436,0.775697165482064,0.833641468898,0.804669317190032
4,0,1,2,-5.36053557747651,-5.26174955310042,0.775692367869258,0.8336414576039,0.804666912736579
2,3,2,1,-5.42047884090778,-5.31071659160101,0.781242405209593,0.826988059834624,0.804115232522108
1,2,2,1,-5.3827876030019,-5.29497780355649,0.722036555311043,0.879793223206094,0.800914889258568
3,3,1,1,-5.37474596034059,-5.26498371103382,0.935722881146558,0.662615436806839,0.799169158976698
2,4,2,1,-5.41545873868618,-5.29472026444874,0.783038713213591,0.815052885563888,0.79904579938874
2,0,2,1,-5.38960009414926,-5.31276651963452,0.752470699449436,0.845575581062628,0.799023140256032
3,2,2,2,-5.38098477188957,-5.26024629765213,0.888698246477538,0.704002589540268,0.796350418008903
4,4,2,1,-5.40530758109826,-5.26261665699947,0.780738447408195,0.811493568814677,0.796116008111436
2,1,1,1,-5.36977854928501,-5.29294497477028,0.698571737145353,0.890804729422691,0.794688233284022
2,1,1,2,-5.36409673986015,-5.27628694041474,0.698540895682389,0.890811656421465,0.794676276051927
1,1,1,2,-5.36507672660982,-5.28824315209508,0.725178757936168,0.860543240090991,0.792860999013579
0,2,2,1,-5.3897571274131,-5.31292355289837,0.740742268776567,0.844224787927107,0.792483528351837
1,1,1,1,-5.37094586672892,-5.30508851714486,0.724679989320916,0.858029643201606,0.791354816261261
0,2,1,2,-5.36487090366042,-5.28803732914569,0.737682184557606,0.843961481313964,0.790821832935785
0,2,1,1,-5.37055275430657,-5.30469540472251,0.73760744343002,0.84392392706686,0.79076568524844
2,2,2,1,-5.41271856567892,-5.31393254130283,0.754341621636218,0.826874806828584,0.790608214232401
4,4,1,2,-5.37816402060562,-5.23547309650683,0.828936726899586,0.749602264392359,0.789269495645972
2,1,2,1,-5.38873929414168,-5.30092949469627,0.681153611368596,0.895458330442739,0.788305970905668
2,4,1,2,-5.37803879700107,-5.25730032276363,0.627991890692098,0.935734316444133,0.781863103568115
3,4,2,2,-5.37095533292637,-5.22826440882758,0.892521539156778,0.667759298490443,0.780140418823611
2,3,1,1,-5.40329001838595,-5.30450399400986,0.780880802813865,0.751814392467249,0.766347597640556
2,1,2,2,-5.38338048173432,-5.28459445735824,0.675026563773174,0.8273968989354,0.751211731354287
2,0,2,2,-5.38462583670499,-5.29681603725957,0.747529875441883,0.7468354876464,0.747182681544141
2,3,2,2,-5.41629221398303,-5.29555373974559,0.832093587994303,0.660799288265436,0.74644643812987
1,4,2,2,-5.37739122835994,-5.2566527541225,0.833949884064227,0.64015496696487,0.737052425514548
0,2,2,2,-5.38489541365607,-5.29708561421065,0.725252638646825,0.74035465531023,0.732803646978528
4,1,2,2,-5.37855971820388,-5.25782124396644,0.797424060343416,0.629582594500893,0.713503327422154
1,2,2,2,-5.38137614036311,-5.28259011598702,0.759594847589242,0.661215237682331,0.710405042635787
1,1,2,2,-5.3841034467441,-5.29629364729869,0.682917701930867,0.735840104080469,0.709378903005668
0,4,2,2,-5.38009025005686,-5.2703280007501,0.819366385876421,0.584984521541402,0.702175453708911
4,2,2,2,-5.37749349818379,-5.24577879901568,0.749071484015579,0.652793412218037,0.700932448116808
1,3,2,2,-5.38021856322773,-5.27045631392097,0.817358533054898,0.58198618682702,0.699672359940959
0,3,2,2,-5.3858711712663,-5.28708514689021,0.816073503815965,0.581294915041278,0.698684209428622
3,0,2,2,-5.38600858650197,-5.28722256212589,0.806161385841371,0.561944465490779,0.684052925666075
3,1,2,2,-5.38059181026552,-5.27082956095875,0.797004483769528,0.56304050449139,0.680022494130459
4,0,2,2,-5.38084669538789,-5.27108444608113,0.787504338893153,0.569833332056789,0.678668835474971
3,4,1,1,-5.43682762537283,-5.31608915113539,0.513730848935155,0.81506617513795,0.664398512036552
3,3,0,1,-5.30393380444955,-5.20514778007346,0.895779970537477,0.421925533752044,0.658852752144761
3,3,2,1,-5.38219728194807,-5.26145880771063,0.489554958668511,0.826716254749472,0.658135606708992
3,3,0,2,-5.29806159224577,-5.188299342939,0.894522971160658,0.397852807057964,0.646187889109311
3,4,0,1,-5.29811308904635,-5.18835083973959,0.891941754058976,0.397396484520968,0.644669119289972
