"AR","MA","GARCH","ARCH","AIC","BIC","LB_Resid","LB_Resid2","LB_Promedio"
0,2,2,1,-5.29387057456876,-5.21703700005402,0.731573925364672,0.172298836034957,0.451936380699814
0,3,1,1,-5.29466668059469,-5.21783310607996,0.699289821087283,0.199330938978289,0.449310380032786
0,3,2,1,-5.2889848577799,-5.20117505833449,0.699294180248379,0.199272349579963,0.449283264914171
2,1,1,1,-5.29386644767026,-5.21703287315553,0.723039384041013,0.175120256658765,0.449079820349889
1,1,1,1,-5.29927131731958,-5.23341396773552,0.709866373418581,0.187417689840027,0.448642031629304
2,0,2,1,-5.29379179949001,-5.21695822497528,0.714714148919255,0.179964095654405,0.44733912228683
2,0,1,1,-5.29947361974021,-5.23361627015616,0.714688080147709,0.179972299143649,0.447330189645679
0,3,2,2,-5.28646176544992,-5.18767574107383,0.64907258606029,0.245372956447634,0.447222771253962
0,3,1,2,-5.29214358660118,-5.20433378715577,0.649061792685046,0.245171711376383,0.447116752030715
1,0,1,1,-5.30493073751308,-5.2500496128597,0.699441851662048,0.19412901383486,0.446785432748454
1,1,2,1,-5.29375714959996,-5.21692357508522,0.705720486252518,0.185191725499608,0.445456105876063
1,2,2,2,-5.28526708140505,-5.18648105702896,0.703849200146564,0.185795472200075,0.44482233617332
1,2,1,2,-5.29094890834543,-5.20313910890001,0.703772892606671,0.185714439574222,0.444743666090446
0,2,2,2,-5.29079671607134,-5.20298691662593,0.702049814134678,0.186622234362388,0.444336024248533
0,2,1,2,-5.29647854689274,-5.21964497237801,0.702097978601327,0.186492218147531,0.444295098374429
1,0,2,1,-5.2994199265784,-5.23356257699434,0.6961351569324,0.19133413261902,0.44373464477571
4,4,0,2,-5.12722400651483,-4.99550930734671,0.887398293210722,2.12403143962092e-08,0.443699157225518
0,1,1,1,-5.30481483809127,-5.24993371343789,0.676339592057176,0.206695010490558,0.441517301273867
2,1,2,2,-5.28516756368635,-5.18638153931027,0.693305497723412,0.188889019501169,0.44109725861229
2,0,1,2,-5.29637599461786,-5.21954242010312,0.682416279564247,0.196185175399168,0.439300727481708
2,0,2,2,-5.29069417450068,-5.20288437505526,0.682342648618709,0.195980567707251,0.43916160816298
0,1,2,1,-5.29930749190584,-5.23345014232178,0.673116353680054,0.204064921097392,0.438590637388723
1,1,1,2,-5.29633072160785,-5.21949714709311,0.669388482551064,0.20448966371883,0.436939073134947
1,1,2,2,-5.2906488941857,-5.20283909474029,0.669401440069513,0.204378742705569,0.436890091387541
1,0,2,2,-5.29630484162053,-5.2194712671058,0.658339102775651,0.211996455813938,0.435167779294795
1,0,1,2,-5.30198666890055,-5.23612931931649,0.658343053901707,0.211969409414666,0.435156231658187
2,1,1,2,-5.29261379571225,-5.20480399626684,0.660844070951373,0.206807611822954,0.433825841387164
0,1,2,2,-5.29620578215324,-5.2193722076385,0.638056559920219,0.223959887741772,0.431008223830995
0,1,1,2,-5.30188761060158,-5.23603026101752,0.638036196756643,0.22397426236742,0.431005229562031
2,2,0,1,-5.1348768045242,-5.05804323000946,0.849102873169234,4.19268841866938e-10,0.424551436794252
2,2,0,2,-5.12919630108431,-5.0413865016389,0.848635627646772,3.98232113951735e-10,0.424317814022502
3,4,2,0,-3.36965719557455,-3.24891872133711,0,0.842560639773902,0.421280319886951
2,4,2,0,-5.17039661290814,-5.06063436360137,0.0270133228489231,0.783313013153649,0.405163168001286
0,2,0,1,-5.1363452173643,-5.08146409271092,0.762876490929062,8.92976710353821e-08,0.381438290113366
0,2,0,2,-5.13047321101422,-5.06461586143016,0.762859524226564,8.85448540044464e-08,0.381429806385709
1,2,0,1,-5.13082251735813,-5.06496516777407,0.754556261458156,5.87460052825506e-08,0.377278160102081
1,2,0,2,-5.1249761059591,-5.04814253144437,0.754491280464426,5.82133456994427e-08,0.377245669338886
0,3,0,1,-5.13151036165352,-5.06565301206946,0.736068772495275,2.20852656163117e-08,0.36803439729027
0,3,0,2,-5.12560839218509,-5.04877481767036,0.735676959987112,2.16755935422697e-08,0.367838490831353
1,3,2,0,-5.25530091642466,-5.16749111697925,0.655623852424879,0.0739817742889235,0.364802813356901
2,2,2,2,-5.28833680620356,-5.17857455689679,0.457213054364703,0.252615931085038,0.35491449272487
2,2,1,2,-5.29401862041965,-5.19523259604356,0.457220777575465,0.252528201643745,0.354874489609605
0,0,2,2,-5.29833155396709,-5.23247420438303,0.382584952102336,0.325272395673196,0.353928673887766
